,Date,as_asm,as_rpm,g4_asm,g4_rpm,aa_asm,aa_rpm,dl_asm,dl_rpm,mq_asm,mq_rpm,ev_asm,ev_rpm,f9_asm,f9_rpm,ha_asm,ha_rpm,b6_asm,b6_rpm,oo_asm,oo_rpm,wn_asm,wn_rpm,nk_asm,nk_rpm,ua_asm,ua_rpm
1,2003,17748794,12298425,294920,203025,113576859,82987128,92260089,68002366,6172107,4015707,5642576,3779918,6593070,4544609,6840377,5506583,13688969,11519628,5685222,4108901,71803884,47948233,5796199,4576377,86964824,65676878
2,2004,19101495,13899645,694919,516914,114823545,86508293,97770116,73021612,8085645,5538051,6609446,4568185,8159972,5972871,6708707,5854387,18736533,15553102,7190146,5318911,76877343,53423654,6189239,4823179,91593982,71283844
3,2005,18928847,14403375,1309291,1043456,111934432,89836801,97736933,75388077,9908223,7089838,7707146,5652457,8553119,6810047,6943064,6211373,23452884,19910473,9448982,7112267,85197897,60228987,5295275,4254402,82121511,67044723
4,2006,19668648,15087972,2470149,1993557,108357960,88931875,81943854,65016309,10641442,7951718,7568813,5849823,9696593,7738840,7359391,6466466,27924499,22804648,10886871,8684408,92671520,67697570,4934649,4098686,84824199,69490678
5,2007,20474868,15642631,3416775,2838824,105696155,87848848,77842219,64008961,10464892,7823216,7247207,5580702,11273646,8954751,8581236,7550828,30612979,24619941,13545093,10521317,99644687,72325361,7113104,5826347,81721337,68177070
6,2008,21031083,16198014,3882121,3492224,99203588,81516323,72086027,60853403,9533314,6814757,6890764,5506212,11116318,9091902,8596908,7281129,30004098,24148959,13078701,9975756,103280990,73497805,6613989,5417645,75167144,62273253
7,2009,20687295,16392483,4944606,4471721,90480770,74966855,67062397,56671817,8996635,6583684,6853600,5470402,9874126,8000826,8642838,7402460,28416490,22832988,13441526,10578227,98009920,74462402,6019926,4887597,67505126,56718882
8,2010,22065721,18308905,5731295,5202701,90615180,75409552,108968226,92044483,9914318,7386324,6881314,5496796,10335672,8611036,8956455,7716928,29569708,24211581,14850755,11822171,98444937,78052662,6575064,5473099,65964198,56150633
9,2011,23804116,20256016,5783557,5302034,89126412,74468580,108123392,91765880,11119154,8367649,7337822,5872597,11089009,9675444,8993182,7762502,31540858,26195400,15210003,12174480,103810559,83852182,7809690,6721946,60951118,52796992
10,2012,25579106,22145209,6967133,6232921,87237680,73349354,108015520,92587543,11652253,8878069,17623931,14070986,10461949,9375385,9911963,8585631,33596352,28314472,15880197,13035025,106383628,85570153,9685365,8331763,107776058,91658943
11,2013,27741515,23810219,7875620,7000033,86763200,73342495,110705671,93923866,10898686,8279654,18578610,14809684,9412364,8617080,10407236,9078186,35514921,29881150,16369198,13460717,112564370,90178338,12187186,10635865,105255273,90393145
12,2014,29755437,25457112,8682031,7749484,86890173,73835327,115481146,100223721,8935387,6921981,17057627,13883565,10969303,9845699,11354761,9652562,35797419,30469359,16624562,13875693,121722043,100528485,14571063,12648419,104078331,89629673
13,2015,33379034,28282790,10223691,8874012,117740699,101503944,122448758,106837176,6317147,4983976,14056634,11345854,13849173,12047568,12332759,10358738,39250294,33411047,18108058,15078317,136862951,114611726,19192855,16244109,107606846,92890961
14,2016,35813025,30499834,11924735,10191586,148458652,126032772,128713968,111228660,6361902,5063350,11648235,9348856,17003003,14862172,12688555,11021788,42509063,36316512,19187206,15834405,143956595,121085329,23258628,19648898,111369695,95495485
